Job_Role,Sum of Salary,Sum of Bonus,Sum of TS,Sum of Tax,Sum of Calculated_Tax,Sum of Bonus_To_TS,,
Talent Acquisition Specialist,610000,30000,640000,5,17000,4.69%,,
Tax Consultant,970000,85000,1055000,15,58250,8.06%,,
UI Designer,620000,45000,665000,5,18250,6.77%,,
Warehouse Manager,990000,92000,1082000,15,62300,8.50%,,
Grand Total,33000000,2540000,35540000,30,10352000,7.15%,,
,,,,,,,,
Calculated  Values ,,,,,,,,
Department,Job_Role,Sum of Salary,Sum of Bonus,Sum of TS,Sum of Tax,Sum of Calculated_Tax,Sum of FinalAmount,% FinalAmount
Sales,Area Sales Executive,720000,68000,788000,10,28800,759200,3.01%
,Regional Sales Manager,930000,110000,1040000,15,56000,984000,3.91%
,Sales Coordinator,580000,42000,622000,5,16100,605900,2.41%
,Sales Executive,1400000,162000,1562000,30,158600,1403400,5.57%
,Sales Manager,880000,100000,980000,10,48000,932000,3.70%
Sales Total,,4510000,482000,4992000,30,1187600,3804400,15.10%
Finance,Accountant,480000,30000,510000,5,10500,499500,1.98%
,Finance Manager,1150000,120000,1270000,20,94000,1176000,4.67%
,Financial Analyst,820000,75000,895000,10,39500,855500,3.40%
,Junior Accountant,470000,20000,490000,5,9500,480500,1.91%
,Senior Accountant,910000,88000,998000,10,49800,948200,3.76%
,Tax Consultant,970000,85000,1055000,15,58250,996750,3.96%
Finance Total,,4800000,418000,5218000,30,1255400,3962600,15.73%
HR,HR Business Partner,880000,72000,952000,10,45200,906800,3.60%
,HR Executive,300000,10000,310000,5,500,309500,1.23%
,HR Manager,850000,70000,920000,10,42000,878000,3.49%
,Talent Acquisition Specialist,610000,30000,640000,5,17000,623000,2.47%
HR Total,,2640000,182000,2822000,30,536600,2285400,9.07%
IT,Backend Developer,820000,55000,875000,10,37500,837500,3.32%
,Cloud Engineer,830000,60000,890000,10,39000,851000,3.38%
,Data Analyst,3000000,50000,3050000,30,605000,2445000,9.71%
,Data Engineer,600000,25000,625000,5,16250,608750,2.42%
,DevOps Engineer,750000,40000,790000,10,29000,761000,3.02%
,Frontend Developer,760000,48000,808000,10,30800,777200,3.09%
,Project Manager,1050000,95000,1145000,15,71750,1073250,4.26%
,QA Engineer,610000,32000,642000,5,17100,624900,2.48%
,Software Engineer,780000,60000,840000,10,34000,806000,3.20%
,Support Engineer,500000,20000,520000,5,11000,509000,2.02%
,UI Designer,620000,45000,665000,5,18250,646750,2.57%
IT Total,,10320000,530000,10850000,30,2945000,7905000,31.38%
Marketing,Brand Manager,870000,78000,948000,10,44800,903200,3.59%
,Content Strategist,520000,25000,545000,5,12250,532750,2.12%
,Digital Marketer,750000,65000,815000,10,31500,783500,3.11%
,Marketing Analyst,540000,35000,575000,5,13750,561250,2.23%
,Marketing Manager,910000,88000,998000,10,49800,948200,3.76%
,SEO Specialist,690000,50000,740000,10,24000,716000,2.84%
,Social Media Executive,320000,15000,335000,5,1750,333250,1.32%
Marketing Total,,4600000,356000,4956000,30,1176800,3779200,15.00%
Operations,Logistics Head,1020000,95000,1115000,15,67250,1047750,4.16%
,Operations Head,1200000,130000,1330000,20,106000,1224000,4.86%
,Operations Manager,950000,80000,1030000,15,54500,975500,3.87%
,Plant Supervisor,980000,90000,1070000,15,60500,1009500,4.01%
,Supply Chain Manager,990000,85000,1075000,15,61250,1013750,4.02%
,Warehouse Manager,990000,92000,1082000,15,62300,1019700,4.05%
Operations Total,,6130000,572000,6702000,30,1700600,5001400,19.86%
Grand Total,,33000000,2540000,35540000,30,10352000,25188000,100.00%
,,,,,,,,
Calculated Items,,,,,,,,
Education_Level,Quarters (Join_Date),Sum of FinalAmount,,,,,,
Graduate,,13714300,,,,,,
,Qtr1,4618500,,,,,,
,Qtr2,4646500,,,,,,
,Qtr3,2216800,,,,,,
,Qtr4,3162500,,,,,,
MBA,,6384600,,,,,,
,Qtr1,1176000,,,,,,
,Qtr2,2602500,,,,,,
,Qtr3,2504500,,,,,,
,Qtr4,948200,,,,,,
Postgraduate,,5709100,,,,,,
,Qtr1,878000,,,,,,
,Qtr2,1939600,,,,,,
,Qtr3,2088000,,,,,,
,Qtr4,1657500,,,,,,
Grand Total,,25188000,,,,,,
